County Number,County Name,All,White,Black,Hispanic,Asian,Indian,Multi-Racial,Pacific Islander,Male,Female,ELL,Low SES,Spec Ed
083,Taylor                                            ,1.19%,1.21%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,@FORMATERROR,1.12%,1.26%,0.00%,1.83%,2.56%
084,Tucker                                            ,0.43%,0.44%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.80%,0.00%,@FORMATERROR,0.42%,1.27%
085,Tyler                                             ,1.19%,1.03%,0.00%,@FORMATERROR,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.68%,1.69%,@FORMATERROR,1.64%,0.00%
087,Upshur                                            ,1.29%,1.32%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,1.59%,0.98%,0.00%,1.29%,1.03%
089,Wayne                                             ,1.47%,1.46%,5.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,1.87%,1.04%,0.00%,1.47%,1.66%
091,Webster                                           ,0.50%,0.52%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,@FORMATERROR,0.90%,0.00%,@FORMATERROR,0.50%,0.94%
092,Wetzel                                            ,0.52%,0.53%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.66%,0.36%,0.00%,0.52%,2.01%
094,Wirt                                              ,1.18%,1.20%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,@FORMATERROR,1.29%,1.05%,@FORMATERROR,1.18%,2.22%
096,Wood                                              ,0.98%,1.01%,0.00%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.77%,1.20%,0.00%,1.63%,1.01%
098,Wyoming                                           ,0.64%,0.53%,11.11%,0.00%,0.00%,0.00%,@FORMATERROR,@FORMATERROR,0.79%,0.47%,@FORMATERROR,0.64%,0.00%
999,State Total                                       ,1.00%,0.90%,1.40%,0.80%,0.20%,0.70%,@FORMATERROR,@FORMATERROR,1.10%,0.80%,0.00%,1.10%,0.90%
